group,catalyst_description,temperature_c,X_EtOH_pct,S_ethylene_pct,S_C4_pct,S_acetaldehyde_pct,S_C4_12_fatty_alcohol_pct,S_methyl_benzaldehyde_alcohol_pct,S_other_pct,co_loading_wt_pct,co_sio2_mass_mg,hap_mass_mg,quartz_sand_mass_mg,total_catalyst_mg,ratio_key,rho,ethanol_feed_ml_min,packing_mode,packing_mode_label,is_a11_special,selectivity_total_pct,selectivity_balance_error_pct_point
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,2.06716945,1.17000000,34.05000000,2.41000000,52.59000000,0.00000000,9.78000000,1.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,275,5.85172099,1.63000000,37.43000000,1.42000000,53.21000000,0.00000000,6.31000000,1.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,300,14.96889149,3.02000000,46.94000000,4.71000000,35.16000000,1.00000000,9.17000000,1.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,325,19.68135910,7.97000000,49.70000000,14.69000000,15.16000000,2.13000000,10.35000000,1.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,-0.00000000
A1,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,350,36.80101697,12.46000000,47.21000000,18.66000000,9.22000000,1.69000000,10.76000000,1.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,250,4.60299723,0.61000000,18.07000000,0.94000000,72.99000000,0.00000000,7.39000000,2.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,275,17.19553891,0.51000000,17.28000000,1.43000000,72.62000000,0.00000000,8.16000000,2.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,300,38.92224530,0.85000000,19.60000000,2.21000000,67.50000000,0.00000000,9.84000000,2.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,325,56.38246023,1.43000000,30.62000000,3.79000000,51.21000000,0.00000000,12.95000000,2.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A2,200mg 2wt%Co/SiO2- 200mg HAP-乙醇浓度1.68ml/min,350,67.87929575,2.76000000,39.10000000,4.20000000,36.92000000,1.87000000,15.15000000,2.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,1.68000000,0,I,False,100.00000000,0.00000000
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,250,9.66937296,0.13000000,5.50000000,1.23000000,85.09000000,3.97000000,4.08000000,1.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,0.90000000,0,I,False,100.00000000,0.00000000
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,275,19.23693537,0.33000000,8.04000000,1.71000000,82.07000000,2.88000000,4.97000000,1.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,0.90000000,0,I,False,100.00000000,-0.00000000
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,300,29.25023354,0.71000000,17.01000000,3.63000000,66.90000000,3.18000000,8.57000000,1.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,0.90000000,0,I,False,100.00000000,0.00000000
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,325,37.57918513,1.83000000,28.72000000,5.72000000,49.77000000,3.44000000,10.52000000,1.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,0.90000000,0,I,False,100.00000000,-0.00000000
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,350,48.93704465,2.85000000,36.85000000,7.23000000,38.29000000,3.51000000,11.27000000,1.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,0.90000000,0,I,False,100.00000000,0.00000000
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,400,83.71338158,6.76000000,53.43000000,8.95000000,14.37000000,3.38000000,13.11000000,1.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,0.90000000,0,I,False,100.00000000,0.00000000
A3,200mg 1wt%Co/SiO2- 200mg HAP-乙醇浓度0.9ml/min,450,86.40970274,14.84000000,49.90000000,8.39000000,12.41000000,2.09000000,12.37000000,1.00000000,200.00000000,200.00000000,0.00000000,400.00000000,1:1,1.00000000,0.90000000,0,I,False,100.00000000,0.00000000
