group,response,degree,tc_c,beta0,beta1,beta2,r2,rmse_loo,range_min,range_max
A1,X_EtOH,1,300.0000000000,15.8740315992,16.6594666307,,0.9321734622,6.5352499401,-0.7854350315,32.5334982299
A1,X_EtOH,2,300.0000000000,12.6932444887,16.6594666307,6.3615742212,0.9797476947,5.2920572345,2.3953520791,35.7142853405
A1,S_C4,1,300.0000000000,43.0660000000,7.7180000000,,0.7869171287,5.2148626515,35.3480000000,50.7840000000
A1,S_C4,2,300.0000000000,45.7074285714,7.7180000000,-5.2828571429,0.9159573883,6.9303611070,32.7065714286,48.5263229257
A2,X_EtOH,1,300.0000000000,36.9965074853,33.1479036694,,0.9900063328,3.9700970742,3.8486038159,70.1444111546
A2,X_EtOH,2,300.0000000000,37.9190651696,33.1479036694,-1.8451153685,0.9910799289,9.0058722188,2.9260461317,69.2218534704
A2,S_C4,1,300.0000000000,24.9340000000,11.0800000000,,0.8359282345,6.6967497085,13.8540000000,36.0140000000
A2,S_C4,2,300.0000000000,21.0425714286,11.0800000000,7.7828571429,0.9802844991,3.9178138788,17.0990841600,39.9054285714
A3,X_EtOH,1,350.0000000000,50.9646206414,20.9782442608,,0.9642750459,8.6928845704,9.0081321199,92.9211091629
A3,X_EtOH,2,350.0000000000,52.4194065728,20.9831179155,-0.8139003368,0.9663196405,15.5458888555,7.1975693946,91.1300410565
A3,S_C4,1,350.0000000000,32.2242514970,13.0598802395,,0.9128147356,9.4393582906,6.1044910180,58.3440119760
A3,S_C4,2,350.0000000000,36.4562060671,13.0740576418,-2.3676261749,0.9550750403,11.7266470965,0.8375860840,53.1338166511
A4,X_EtOH,1,325.0000000000,44.4854500678,29.0855923339,,0.9950303852,3.2634623745,0.8570615668,88.1138385687
A4,X_EtOH,2,325.0000000000,43.5732494228,29.0855923339,0.9122006450,0.9959112389,7.0274328258,1.9973123730,89.2540893749
A4,S_C4,1,325.0000000000,21.2418571429,11.3311428571,,0.9173006202,5.9322386504,4.2451428571,38.2385714286
A4,S_C4,2,325.0000000000,18.2070952381,11.3311428571,3.0347619048,0.9765189309,7.8518399525,8.0385952381,42.0320238095
A5,X_EtOH,1,325.0000000000,34.9321962628,20.3931099763,,0.8733798652,15.6541488962,4.3425312983,65.5218612273
A5,X_EtOH,2,325.0000000000,26.9427168467,20.3931099763,7.9894794161,0.9940266428,4.3322550422,13.9294111956,75.5087104974
A5,S_C4,1,325.0000000000,16.8425714286,11.4854285714,,0.9400909538,5.7541572495,-0.3855714286,34.0707142857
A5,S_C4,2,325.0000000000,14.0378095238,11.4854285714,2.8047619048,0.9905466232,5.1428471236,3.1203809524,37.5766666667
A6,X_EtOH,1,325.0000000000,43.1657836765,25.0766712664,,0.9674493094,9.0796510104,5.5507767769,80.7807905762
