response,group,linear_loo,quadratic_loo,frozen_linear_loo,frozen_quadratic_loo,recommendation,basis
X_EtOH,A1,6.5352499401,5.2920572345,6.5350000000,5.2920000000,二次,总体上升且增幅扩大；二次LOOCV较低
X_EtOH,A2,3.9700970742,9.0058722188,3.9700000000,9.0060000000,线性,持续上升，线性LOOCV明显更低
X_EtOH,A3,8.6928845704,15.5458888555,8.6930000000,15.5460000000,线性（总体）,总体上升；400--450°C增幅明显缩小，二次LOOCV不稳定，高温趋缓单独描述
X_EtOH,A4,3.2634623745,7.0274328258,3.2630000000,7.0270000000,线性,持续上升，线性LOOCV更低且拟合已较好
X_EtOH,A5,15.6541488962,4.3322550422,15.6540000000,4.3320000000,二次,275°C短暂下降后明显加速上升；二次LOOCV显著改善
X_EtOH,A6,9.0796510104,14.6280662988,9.0800000000,14.6280000000,线性（总体）,275°C轻微下降后快速上升；二次LOOCV更差，局部非线性不作强识别
X_EtOH,A7,1.4011684237,0.8548249722,1.4010000000,0.8550000000,线性,持续近似均匀上升；两模型均好，优先线性
X_EtOH,A8,8.2997184784,2.6245377216,8.3000000000,2.6250000000,二次,持续上升且高温段增幅扩大；二次LOOCV显著改善
X_EtOH,A9,12.5404357731,6.9077467565,12.5400000000,6.9080000000,二次,持续上升并在高温段明显加速；二次LOOCV改善
X_EtOH,A10,9.0410876464,3.8939370207,9.0410000000,3.8940000000,二次,低温响应接近0，高温快速上升；二次LOOCV明显改善且区间预测非负
X_EtOH,A11,11.7124694003,6.7216191146,11.7120000000,6.7220000000,低阶模型均仅粗略,总体加速上升；二次LOOCV较好但区间内出现轻微负预测，线性低温端亦越界
X_EtOH,A12,9.4103923581,2.3208021752,9.4100000000,2.3210000000,二次,持续加速上升；二次LOOCV显著改善
X_EtOH,A13,11.2337702437,4.1050425917,11.2340000000,4.1050000000,二次,持续加速上升；二次LOOCV显著改善
X_EtOH,A14,11.0354733135,4.7545935995,11.0350000000,4.7550000000,二次,持续加速上升；二次LOOCV明显改善
X_EtOH,B1,9.3370418898,2.5128033946,9.3370000000,2.5130000000,二次,持续加速上升；二次LOOCV显著改善
X_EtOH,B2,12.8760693070,7.0686344571,12.8760000000,7.0690000000,二次,持续上升且高温段加速；二次LOOCV改善
X_EtOH,B3,6.7442611152,3.0544994035,6.7440000000,3.0540000000,二次（谨慎）,持续加速上升；二次LOOCV改善，但低温段拟合接近0边界
X_EtOH,B4,10.1814119557,5.8709156310,10.1810000000,5.8710000000,二次,持续加速上升；二次LOOCV改善
X_EtOH,B5,12.2073809066,6.2108878624,12.2070000000,6.2110000000,二次,持续加速上升；二次LOOCV改善
X_EtOH,B6,13.7728452042,7.9479048128,13.7730000000,7.9480000000,二次,持续上升，高温段增幅扩大；二次LOOCV改善
X_EtOH,B7,15.6203163388,5.1711498705,15.6200000000,5.1710000000,二次,持续加速上升；二次LOOCV显著改善
S_C4,A1,5.2148626515,6.9303611070,5.2150000000,6.9300000000,线性（总体）,总体上升，但325°C实测最高后回落；二次LOOCV变差，局部回落直接报告
S_C4,A2,6.6967497085,3.9178138788,6.6970000000,3.9180000000,二次,低温小幅回落后加速上升，二次LOOCV明显改善
S_C4,A3,9.4393582906,11.7266470965,9.4390000000,11.7270000000,线性（总体）,总体上升至400°C后450°C回落；二次LOOCV变差，端部回落直接报告
S_C4,A4,5.9322386504,7.8518399525,5.9320000000,7.8520000000,线性（总体）,低温略降后总体上升；二次LOOCV变差
S_C4,A5,5.7541572495,5.1428471236,5.7540000000,5.1430000000,线性,持续上升；二次LOOCV仅小幅改善，优先简洁模型
S_C4,A6,12.4988494776,13.7517420780,12.4990000000,13.7520000000,低阶模型均仅粗略,总体上升且400°C跃升明显；二次虽提高训练拟合但LOOCV更差
S_C4,A7,5.5237806309,0.9057933625,5.5240000000,0.9060000000,二次,随温度升高增幅扩大；二次LOOCV显著改善
S_C4,A8,3.6404734261,0.9321472637,3.6400000000,0.9320000000,二次,持续上升且呈明显加速；二次LOOCV显著改善
S_C4,A9,1.6009027127,4.6888502470,1.6010000000,4.6890000000,线性,持续上升且近似线性；线性LOOCV显著更低
S_C4,A10,3.6434885944,2.1518744739,3.6430000000,2.1520000000,二次,275°C小幅回落后加速上升；二次LOOCV改善
S_C4,A11,0.9015714459,0.2559926254,0.9020000000,0.2560000000,二次,持续上升且曲率明显；二次LOOCV显著改善
S_C4,A12,4.2780517554,1.4250767125,4.2780000000,1.4250000000,二次,持续加速上升；二次LOOCV显著改善
S_C4,A13,2.6015233170,5.6908904352,2.6020000000,5.6910000000,线性,总体持续上升；线性LOOCV明显更低
S_C4,A14,4.6474351524,0.4223474659,4.6470000000,0.4220000000,二次,持续加速上升；二次LOOCV显著改善
S_C4,B1,4.3985372873,3.3409162164,4.3990000000,3.3410000000,二次,持续上升并有一定加速；二次LOOCV较低
S_C4,B2,4.7257485948,3.0347394586,4.7260000000,3.0350000000,二次,持续上升且有曲率；二次LOOCV改善
S_C4,B3,2.3975231284,1.6326167222,2.3980000000,1.6330000000,二次,总体上升；二次LOOCV改善
S_C4,B4,4.5833951002,3.0610553662,4.5830000000,3.0610000000,二次,300°C局部下降后上升；二次LOOCV改善
S_C4,B5,3.1077522357,0.8596466577,3.1080000000,0.8600000000,二次,持续上升且二次LOOCV显著改善
S_C4,B6,2.7777975597,7.1452649370,2.7780000000,7.1450000000,线性,总体持续上升；二次LOOCV明显变差
S_C4,B7,2.3090453640,2.2623410659,2.3090000000,2.2620000000,线性,持续上升且近似线性；两者LOOCV几乎相同，优先线性
