response,group,tc_c,recommendation,beta0,beta1,beta2,r2,rmse_loo
X_EtOH,A1,300,二次,12.6932444887,16.6594666307,6.3615742212,0.9797476947,5.2920572345
X_EtOH,A2,300,线性,36.9965074853,33.1479036694,,0.9900063328,3.9700970742
X_EtOH,A3,350,线性（总体）,50.9646206414,20.9782442608,,0.9642750459,8.6928845704
X_EtOH,A4,325,线性,44.4854500678,29.0855923339,,0.9950303852,3.2634623745
X_EtOH,A5,325,二次,26.9427168467,20.3931099763,7.9894794161,0.9940266428,4.3322550422
X_EtOH,A6,325,线性（总体）,43.1657836765,25.0766712664,,0.9674493094,9.0796510104
X_EtOH,A7,325,线性,48.4389726640,18.8768364786,,0.9987862714,1.4011684237
X_EtOH,A8,325,二次,21.3220817642,16.8307654396,4.3772940157,0.9990387554,2.6245377216
X_EtOH,A9,325,二次,7.9172212373,12.2446650593,6.1055667334,0.9902623905,6.9077467565
X_EtOH,A10,325,二次,4.5415453219,9.0158424651,4.4902401115,0.9940093848,3.8939370207
X_EtOH,A11,325,低阶模型均仅粗略,,,,,
X_EtOH,A12,325,二次,12.3726098585,14.1325961687,4.7577564361,0.9990829254,2.3208021752
X_EtOH,A13,325,二次,8.2405042755,12.4808807036,5.6139038659,0.9965077721,4.1050425917
X_EtOH,A14,325,二次,15.9135538581,16.6078274136,5.4444622621,0.9971621841,4.7545935995
X_EtOH,B1,325,二次,12.0007899818,13.8111373908,4.7102859996,0.9988764535,2.5128033946
X_EtOH,B2,325,二次,10.0883861911,13.4178366091,6.2812374700,0.9912902574,7.0686344571
X_EtOH,B3,325,二次（谨慎）,3.0506955835,6.5655895346,3.4693298889,0.9914752878,3.0544994035
X_EtOH,B4,325,二次,5.5664980055,10.3879130068,5.1415307961,0.9870280932,5.8709156310
X_EtOH,B5,325,二次,9.7411585652,13.5798307749,6.2548741619,0.9914400133,6.2108878624
X_EtOH,B6,325,二次,17.6706818820,19.1857172668,7.0324085646,0.9902488266,7.9479048128
X_EtOH,B7,325,二次,18.8690476190,20.9857142857,8.1952380952,0.9965984055,5.1711498705
S_C4,A1,300,线性（总体）,43.0660000000,7.7180000000,,0.7869171287,5.2148626515
S_C4,A2,300,二次,21.0425714286,11.0800000000,7.7828571429,0.9802844991,3.9178138788
S_C4,A3,350,线性（总体）,32.2242514970,13.0598802395,,0.9128147356,9.4393582906
S_C4,A4,325,线性（总体）,21.2418571429,11.3311428571,,0.9173006202,5.9322386504
S_C4,A5,325,线性,16.8425714286,11.4854285714,,0.9400909538,5.7541572495
S_C4,A6,325,低阶模型均仅粗略,,,,,
S_C4,A7,325,二次,12.9953731343,9.2450106610,2.8846908316,0.9996506368,0.9057933625
S_C4,A8,325,二次,19.2244776119,12.0486993603,1.8677185501,0.9995257568,0.9321472637
S_C4,A9,325,线性,23.3900000000,12.6900000000,,0.9948058661,1.6009027127
S_C4,A10,325,二次,2.3290298507,2.5234008529,1.7463752665,0.9784686937,2.1518744739
S_C4,A11,325,二次,3.0064179104,2.5790405117,0.4578251599,0.9994440464,0.2559926254
S_C4,A12,325,二次,16.1394776119,10.1665565032,2.2548614072,0.9992578536,1.4250767125
S_C4,A13,325,线性,17.0117241379,8.1386206897,,0.9767739013,2.6015233170
S_C4,A14,325,二次,6.6882835821,6.7976652452,2.4227078891,0.9994632943,0.4223474659
S_C4,B1,325,二次,18.3754477612,11.9052985075,2.3213432836,0.9971767720,3.3409162164
S_C4,B2,325,二次,15.2723880597,12.1206396588,2.4814498934,0.9977358429,3.0347394586
S_C4,B3,325,二次,9.5688571429,6.0088571429,1.1942857143,0.9762965197,1.6326167222
S_C4,B4,325,二次,8.5439047619,5.1162857143,2.5038095238,0.9736842570,3.0610553662
S_C4,B5,325,二次,11.2838571429,7.3088571429,1.6242857143,0.9982217759,0.8596466577
S_C4,B6,325,线性,16.0874285714,9.5145714286,,0.9645566159,2.7777975597
S_C4,B7,325,线性,19.4854285714,11.6825714286,,0.9888247384,2.3090453640
