family_key,factor,low_level,high_level,block_id,background,low_group,high_group,temperature_c,response,delta_pct_point
co_loading_wt_pct:1->5,co_loading_wt_pct,1,5,co_loading_wt_pct:1,Total catalyst mass (mg)=400; Co/SiO2:HAP mass ratio=1:1; Ethanol feed (mL/min)=1.68; Packing mode=I,A1,A6,250.00,S_C4,-30.75
co_loading_wt_pct:1->5,co_loading_wt_pct,1,5,co_loading_wt_pct:1,Total catalyst mass (mg)=400; Co/SiO2:HAP mass ratio=1:1; Ethanol feed (mL/min)=1.68; Packing mode=I,A1,A6,275.00,S_C4,-30.33
co_loading_wt_pct:1->5,co_loading_wt_pct,1,5,co_loading_wt_pct:1,Total catalyst mass (mg)=400; Co/SiO2:HAP mass ratio=1:1; Ethanol feed (mL/min)=1.68; Packing mode=I,A1,A6,300.00,S_C4,-39.76
co_loading_wt_pct:1->5,co_loading_wt_pct,1,5,co_loading_wt_pct:1,Total catalyst mass (mg)=400; Co/SiO2:HAP mass ratio=1:1; Ethanol feed (mL/min)=1.68; Packing mode=I,A1,A6,350.00,S_C4,-36.56
co_loading_wt_pct:1->5,co_loading_wt_pct,1,5,co_loading_wt_pct:2,Total catalyst mass (mg)=100; Co/SiO2:HAP mass ratio=1:1; Ethanol feed (mL/min)=2.1; Packing mode=I,A9,A10,250.00,S_C4,-3.21
co_loading_wt_pct:1->5,co_loading_wt_pct,1,5,co_loading_wt_pct:2,Total catalyst mass (mg)=100; Co/SiO2:HAP mass ratio=1:1; Ethanol feed (mL/min)=2.1; Packing mode=I,A9,A10,275.00,S_C4,-8.03
co_loading_wt_pct:1->5,co_loading_wt_pct,1,5,co_loading_wt_pct:2,Total catalyst mass (mg)=100; Co/SiO2:HAP mass ratio=1:1; Ethanol feed (mL/min)=2.1; Packing mode=I,A9,A10,300.00,S_C4,-13.93
co_loading_wt_pct:1->5,co_loading_wt_pct,1,5,co_loading_wt_pct:2,Total catalyst mass (mg)=100; Co/SiO2:HAP mass ratio=1:1; Ethanol feed (mL/min)=2.1; Packing mode=I,A9,A10,350.00,S_C4,-27.74
co_loading_wt_pct:1->5,co_loading_wt_pct,1,5,co_loading_wt_pct:1,Total catalyst mass (mg)=400; Co/SiO2:HAP mass ratio=1:1; Ethanol feed (mL/min)=1.68; Packing mode=I,A1,A6,250.00,X_EtOH,11.32
co_loading_wt_pct:1->5,co_loading_wt_pct,1,5,co_loading_wt_pct:1,Total catalyst mass (mg)=400; Co/SiO2:HAP mass ratio=1:1; Ethanol feed (mL/min)=1.68; Packing mode=I,A1,A6,275.00,X_EtOH,6.93
co_loading_wt_pct:1->5,co_loading_wt_pct,1,5,co_loading_wt_pct:1,Total catalyst mass (mg)=400; Co/SiO2:HAP mass ratio=1:1; Ethanol feed (mL/min)=1.68; Packing mode=I,A1,A6,300.00,X_EtOH,10.51
