rectangle,response,omitted_temperature_c,mean_I_without_temperature_pct_point,sign_preserved_vs_full_mean
total_catalyst_mg__ethanol_feed_ml_min,X_EtOH,250.00,-5.48,True
total_catalyst_mg__ethanol_feed_ml_min,X_EtOH,275.00,-3.71,True
total_catalyst_mg__ethanol_feed_ml_min,X_EtOH,300.00,-3.73,True
total_catalyst_mg__ethanol_feed_ml_min,X_EtOH,350.00,-6.30,True
total_catalyst_mg__ethanol_feed_ml_min,S_C4,250.00,25.44,True
total_catalyst_mg__ethanol_feed_ml_min,S_C4,275.00,24.84,True
total_catalyst_mg__ethanol_feed_ml_min,S_C4,300.00,23.93,True
total_catalyst_mg__ethanol_feed_ml_min,S_C4,350.00,30.11,True
ethanol_feed_ml_min__packing_mode,X_EtOH,250.00,2.59,True
ethanol_feed_ml_min__packing_mode,X_EtOH,275.00,2.39,True
ethanol_feed_ml_min__packing_mode,X_EtOH,300.00,2.30,True
ethanol_feed_ml_min__packing_mode,X_EtOH,350.00,1.85,True
ethanol_feed_ml_min__packing_mode,X_EtOH,400.00,1.33,True
ethanol_feed_ml_min__packing_mode,S_C4,250.00,-13.60,True
ethanol_feed_ml_min__packing_mode,S_C4,275.00,-12.72,True
ethanol_feed_ml_min__packing_mode,S_C4,300.00,-11.60,True
ethanol_feed_ml_min__packing_mode,S_C4,350.00,-9.06,True
ethanol_feed_ml_min__packing_mode,S_C4,400.00,-8.67,True
