rectangle,factor_1,factor_2,factor_1_levels,factor_2_levels,groups_coordinate_order,temperature_c,response,interaction_I_pct_point
total_catalyst_mg__ethanol_feed_ml_min,total_catalyst_mg,ethanol_feed_ml_min,100->400,0.9->1.68,A8/A12/A3/A1,250.00,X_EtOH,-2.78
total_catalyst_mg__ethanol_feed_ml_min,total_catalyst_mg,ethanol_feed_ml_min,100->400,0.9->1.68,A8/A12/A3/A1,275.00,X_EtOH,-8.10
total_catalyst_mg__ethanol_feed_ml_min,total_catalyst_mg,ethanol_feed_ml_min,100->400,0.9->1.68,A8/A12/A3/A1,300.00,X_EtOH,-8.02
total_catalyst_mg__ethanol_feed_ml_min,total_catalyst_mg,ethanol_feed_ml_min,100->400,0.9->1.68,A8/A12/A3/A1,350.00,X_EtOH,-0.33
total_catalyst_mg__ethanol_feed_ml_min,total_catalyst_mg,ethanol_feed_ml_min,100->400,0.9->1.68,A8/A12/A3/A1,250.00,S_C4,28.01
total_catalyst_mg__ethanol_feed_ml_min,total_catalyst_mg,ethanol_feed_ml_min,100->400,0.9->1.68,A8/A12/A3/A1,275.00,S_C4,29.80
total_catalyst_mg__ethanol_feed_ml_min,total_catalyst_mg,ethanol_feed_ml_min,100->400,0.9->1.68,A8/A12/A3/A1,300.00,S_C4,32.53
total_catalyst_mg__ethanol_feed_ml_min,total_catalyst_mg,ethanol_feed_ml_min,100->400,0.9->1.68,A8/A12/A3/A1,350.00,S_C4,13.99
ethanol_feed_ml_min__packing_mode,ethanol_feed_ml_min,packing_mode,1.68->2.1,I->II,A12/B1/A9/B5,250.00,X_EtOH,0.10
ethanol_feed_ml_min__packing_mode,ethanol_feed_ml_min,packing_mode,1.68->2.1,I->II,A12/B1/A9/B5,275.00,X_EtOH,0.89
ethanol_feed_ml_min__packing_mode,ethanol_feed_ml_min,packing_mode,1.68->2.1,I->II,A12/B1/A9/B5,300.00,X_EtOH,1.27
ethanol_feed_ml_min__packing_mode,ethanol_feed_ml_min,packing_mode,1.68->2.1,I->II,A12/B1/A9/B5,350.00,X_EtOH,3.07
ethanol_feed_ml_min__packing_mode,ethanol_feed_ml_min,packing_mode,1.68->2.1,I->II,A12/B1/A9/B5,400.00,X_EtOH,5.12
ethanol_feed_ml_min__packing_mode,ethanol_feed_ml_min,packing_mode,1.68->2.1,I->II,A12/B1/A9/B5,250.00,S_C4,-1.25
ethanol_feed_ml_min__packing_mode,ethanol_feed_ml_min,packing_mode,1.68->2.1,I->II,A12/B1/A9/B5,275.00,S_C4,-4.76
ethanol_feed_ml_min__packing_mode,ethanol_feed_ml_min,packing_mode,1.68->2.1,I->II,A12/B1/A9/B5,300.00,S_C4,-9.24
ethanol_feed_ml_min__packing_mode,ethanol_feed_ml_min,packing_mode,1.68->2.1,I->II,A12/B1/A9/B5,350.00,S_C4,-19.41
ethanol_feed_ml_min__packing_mode,ethanol_feed_ml_min,packing_mode,1.68->2.1,I->II,A12/B1/A9/B5,400.00,S_C4,-20.99
