factor,block_id,group,level,response,mean_response_pct,gamma_pct_point,block_grand_mean_pct,common_temperatures_c,curves_cross,rank_order_stable,response_250c_pct,response_275c_pct,response_300c_pct,response_350c_pct,temperature_mean_250c_pct,temperature_mean_275c_pct,temperature_mean_300c_pct,temperature_mean_350c_pct,response_400c_pct,temperature_mean_400c_pct
co_loading_wt_pct,co_loading_wt_pct:1,A4,0.5,X_EtOH,26.52,1.41,25.11,250/275/300/350,True,False,4.02,12.10,29.48,60.47,6.02,11.98,27.21,55.23,,
co_loading_wt_pct,co_loading_wt_pct:1,A1,1,X_EtOH,14.92,-10.19,25.11,250/275/300/350,True,False,2.07,5.85,14.97,36.80,6.02,11.98,27.21,55.23,,
co_loading_wt_pct,co_loading_wt_pct:1,A2,2,X_EtOH,32.15,7.04,25.11,250/275/300/350,True,False,4.60,17.20,38.92,67.88,6.02,11.98,27.21,55.23,,
co_loading_wt_pct,co_loading_wt_pct:1,A6,5,X_EtOH,26.85,1.74,25.11,250/275/300/350,True,False,13.39,12.78,25.48,55.76,6.02,11.98,27.21,55.23,,
co_loading_wt_pct,co_loading_wt_pct:1,A4,0.5,S_C4,14.05,-7.46,21.51,250/275/300/350,False,True,9.62,8.62,10.72,27.25,16.26,17.61,21.11,31.05,,
co_loading_wt_pct,co_loading_wt_pct:1,A1,1,S_C4,41.41,19.90,21.51,250/275/300/350,False,True,34.05,37.43,46.94,47.21,16.26,17.61,21.11,31.05,,
co_loading_wt_pct,co_loading_wt_pct:1,A2,2,S_C4,23.51,2.01,21.51,250/275/300/350,False,True,18.07,17.28,19.60,39.10,16.26,17.61,21.11,31.05,,
co_loading_wt_pct,co_loading_wt_pct:1,A6,5,S_C4,7.06,-14.45,21.51,250/275/300/350,False,True,3.30,7.10,7.18,10.65,16.26,17.61,21.11,31.05,,
total_catalyst_mg,total_catalyst_mg:3,B3,20,X_EtOH,5.85,-7.72,13.58,250/275/300/350/400,False,False,0.39,0.62,1.15,6.01,1.58,3.41,5.95,15.64,21.10,41.31
total_catalyst_mg,total_catalyst_mg:3,B4,50,X_EtOH,9.56,-4.02,13.58,250/275/300/350/400,False,False,0.54,1.11,3.01,9.64,1.58,3.41,5.95,15.64,33.49,41.31
total_catalyst_mg,total_catalyst_mg:3,B1,100,X_EtOH,14.89,1.31,13.58,250/275/300/350/400,False,False,1.41,3.42,6.72,19.31,1.58,3.41,5.95,15.64,43.60,41.31
total_catalyst_mg,total_catalyst_mg:3,B6,150,X_EtOH,22.63,9.06,13.58,250/275/300/350/400,False,False,2.77,7.51,12.62,27.03,1.58,3.41,5.95,15.64,63.25,41.31
total_catalyst_mg,total_catalyst_mg:3,B2,200,X_EtOH,14.94,1.37,13.58,250/275/300/350/400,False,False,2.76,4.40,6.22,16.19,1.58,3.41,5.95,15.64,45.14,41.31
