group,X_EtOH_pct_250c,X_EtOH_pct_275c,X_EtOH_pct_300c,X_EtOH_pct_350c,X_EtOH_pct_delta_250_to_350_pct_point,S_C4_pct_250c,S_C4_pct_275c,S_C4_pct_300c,S_C4_pct_350c,S_C4_pct_delta_250_to_350_pct_point
A1,2.07,5.85,14.97,36.80,34.73,34.05,37.43,46.94,47.21,13.16
A2,4.60,17.20,38.92,67.88,63.28,18.07,17.28,19.60,39.10,21.03
A3,9.67,19.24,29.25,48.94,39.27,5.50,8.04,17.01,36.85,31.35
A4,4.02,12.10,29.48,60.47,56.45,9.62,8.62,10.72,27.25,17.63
A5,14.79,12.42,20.81,36.81,22.02,1.96,6.65,10.12,18.75,16.79
A6,13.39,12.78,25.48,55.76,42.37,3.30,7.10,7.18,10.65,7.35
A7,19.66,29.04,39.98,58.60,38.95,5.75,6.56,8.84,18.64,12.89
A8,6.27,8.76,13.18,31.72,25.45,5.63,8.52,13.82,25.89,20.26
A9,2.05,3.00,4.73,13.39,11.34,5.40,9.68,16.10,31.04,25.64
A10,0.32,1.02,1.68,9.02,8.70,2.19,1.65,2.17,3.30,1.11
A11,0.23,0.52,1.61,8.21,7.98,0.10,1.00,1.82,4.35,4.25
A12,1.44,3.47,6.91,19.91,18.47,6.17,8.11,11.22,22.26,16.09
A13,1.35,2.31,4.07,14.64,13.29,5.19,7.62,12.74,23.46,18.27
A14,2.49,5.33,10.15,24.03,21.54,1.89,2.55,3.61,10.83,8.94
B1,1.41,3.42,6.72,19.31,17.90,6.32,8.25,12.28,25.97,19.65
B2,2.76,4.40,6.22,16.19,13.42,3.26,4.97,9.32,22.88,19.62
B3,0.39,0.62,1.15,6.01,5.62,2.85,5.35,7.61,13.81,10.96
B4,0.54,1.11,3.01,9.64,9.10,6.62,6.62,5.05,13.10,6.48
B5,2.12,3.83,5.81,15.86,13.74,4.30,5.06,7.92,15.34,11.04
B6,2.77,7.51,12.62,27.03,24.26,4.50,4.79,8.77,22.41,17.91
B7,4.40,7.90,11.70,30.20,25.80,4.08,6.62,12.86,25.05,20.97
