rank,group,temperature_c,X_EtOH_pct,S_C4_pct,Y_C4_pct
1,A3,400,83.700000,53.430000,44.720910
2,A3,450,86.400000,49.900000,43.113600
3,A4,400,88.400000,41.020000,36.261680
4,A6,400,83.300000,37.330000,31.095890
5,A5,400,76.000000,38.230000,29.054800
6,A2,350,67.880000,39.100000,26.541080
7,B7,400,69.400000,38.170000,26.489980
8,A7,400,76.000000,33.250000,25.270000
9,A8,400,56.100000,41.420000,23.236620
10,B6,400,63.200000,30.480000,19.263360
11,A3,350,48.900000,36.850000,18.019650
12,B1,400,43.600000,41.080000,17.910880
13,B2,400,45.100000,38.700000,17.453700
14,A1,350,36.800000,47.210000,17.373280
15,A2,325,56.380000,30.620000,17.263556
16,A9,400,40.800000,42.040000,17.152320
17,A4,350,60.500000,27.250000,16.486250
18,A12,400,44.500000,36.300000,16.153500
19,A14,400,53.600000,22.300000,11.952800
20,B5,400,45.000000,25.830000,11.623500
21,A13,400,40.000000,27.910000,11.164000
22,A7,350,58.600000,18.640000,10.923040
23,A3,325,37.600000,28.720000,10.798720
24,A1,325,19.680000,49.700000,9.780960
25,A8,350,31.700000,25.890000,8.207130
26,A4,325,43.300000,18.890000,8.179370
27,A2,300,38.920000,19.600000,7.628320
28,B7,350,30.200000,25.050000,7.565100
29,B4,400,33.500000,21.450000,7.185750
30,A1,300,14.970000,46.940000,7.026918
31,A5,350,36.800000,18.750000,6.900000
32,B6,350,27.000000,22.410000,6.050700
33,A6,350,55.800000,10.650000,5.942700
34,B1,350,19.300000,25.970000,5.012210
35,A3,300,29.300000,17.010000,4.983930
36,B3,400,21.100000,21.210000,4.475310
37,A12,350,19.900000,22.260000,4.429740
38,A9,350,13.400000,31.040000,4.159360
39,A5,325,28.300000,13.860000,3.922380
40,B2,350,16.200000,22.880000,3.706560
41,A7,300,40.000000,8.840000,3.536000
42,A13,350,14.600000,23.460000,3.425160
43,B7,325,17.800000,18.450000,3.284100
44,A4,300,29.500000,10.720000,3.162400
45,A2,275,17.200000,17.280000,2.972160
46,A10,400,28.600000,10.290000,2.942940
47,A14,350,24.000000,10.830000,2.599200
48,A11,400,32.600000,7.930000,2.585180
49,B6,325,15.900000,16.060000,2.553540
50,B5,350,15.900000,15.340000,2.439060
51,A1,275,5.850000,37.430000,2.189655
52,A5,300,20.800000,10.120000,2.104960
53,A7,275,29.000000,6.560000,1.902400
54,A6,300,25.500000,7.180000,1.830900
55,A8,300,13.200000,13.820000,1.824240
56,A3,275,19.200000,8.040000,1.543680
57,B7,300,11.700000,12.860000,1.504620
58,B4,350,9.600000,13.100000,1.257600
59,B5,325,9.800000,11.690000,1.145620
60,A7,250,19.700000,5.750000,1.132750
61,B6,300,12.600000,8.770000,1.105020
62,A4,275,12.100000,8.620000,1.043020
63,A6,275,12.800000,7.100000,0.908800
64,A2,250,4.600000,18.070000,0.831220
65,B3,350,6.000000,13.810000,0.828600
66,A5,275,12.400000,6.650000,0.824600
67,B1,300,6.700000,12.280000,0.822760
68,A12,300,6.900000,11.220000,0.774180
69,A9,300,4.700000,16.100000,0.756700
70,A8,275,8.800000,8.520000,0.749760
71,A1,250,2.070000,34.050000,0.704835
72,B2,300,6.200000,9.320000,0.577840
73,A3,250,9.700000,5.500000,0.533500
74,B7,275,7.900000,6.620000,0.522980
75,A13,300,4.100000,12.740000,0.522340
76,B4,325,6.100000,8.330000,0.508130
77,B5,300,5.800000,7.920000,0.459360
78,A6,250,13.400000,3.300000,0.442200
79,A4,250,4.000000,9.620000,0.384800
80,A14,300,10.200000,3.610000,0.368220
81,B6,275,7.500000,4.790000,0.359250
82,A11,350,8.200000,4.350000,0.356700
83,A8,250,6.300000,5.630000,0.354690
84,A10,350,9.000000,3.300000,0.297000
85,A9,275,3.000000,9.680000,0.290400
86,A5,250,14.800000,1.960000,0.290080
87,A12,275,3.500000,8.110000,0.283850
88,B1,275,3.400000,8.250000,0.280500
89,B3,325,3.300000,7.740000,0.255420
90,B2,275,4.400000,4.970000,0.218680
91,B5,275,3.800000,5.060000,0.192280
92,B7,250,4.400000,4.080000,0.179520
93,A13,275,2.300000,7.620000,0.175260
94,B4,300,3.000000,5.050000,0.151500
95,A14,275,5.300000,2.550000,0.135150
96,B6,250,2.800000,4.500000,0.126000
97,A9,250,2.100000,5.400000,0.113400
98,B2,250,2.800000,3.260000,0.091280
99,B5,250,2.100000,4.300000,0.090300
100,B1,250,1.400000,6.320000,0.088480
101,A12,250,1.400000,6.170000,0.086380
102,B3,300,1.100000,7.610000,0.083710
103,B4,275,1.100000,6.620000,0.072820
104,A13,250,1.300000,5.190000,0.067470
105,A14,250,2.500000,1.890000,0.047250
106,A10,300,1.700000,2.170000,0.036890
107,B4,250,0.500000,6.620000,0.033100
108,B3,275,0.600000,5.350000,0.032100
109,A11,300,1.600000,1.820000,0.029120
110,A10,275,1.000000,1.650000,0.016500
111,B3,250,0.400000,2.850000,0.011400
112,A10,250,0.300000,2.190000,0.006570
113,A11,275,0.500000,1.000000,0.005000
114,A11,250,0.200000,0.100000,0.000200
